,old_index,Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Website,Known_For2,Known_For22
0,1,Cafe Lota,"Cafe, South Indian, North Indian, Beverages",1200," Pragati Maidan, New Delhi",4.9,3748,https://www.zomato.com/ncr/cafe-lota-pragati-maidan-new-delhi,"Pondicherry Fish Curry, Coconut Rabdi, Sabudana Pop Corn, Chicken Pasanda, Majestic Chicken, Bhapa Doi","Artistic Decor, The Service, Natural Ambience, Fusion Menu, Serene Ambience, Fusion Food"
1,3,Burma Burma,"Asian, Burmese, Bubble Tea, Desserts, Salad",1600," Cyber Hub, DLF Cyber City, Gurgaon",4.9,2636,https://www.zomato.com/ncr/burma-burma-dlf-cyber-city,"Coconut Milk Dessert, Honey Caviar, Kaffir Lime Cooler, Samosa Curry, Samosa Soup, Corn Curry","Knowledgeable Staff, Authentic, Soothing Ambience, Dessert Menu, Pure Veg, Cozy"
2,4,The Big Chill,"Continental, American, Italian",1500," Khan Market, New Delhi",4.9,6487,https://www.zomato.com/ncr/the-big-chill-khan-market-new-delhi,"Irish Cream Tiramisu, Penne Vodka, Mississippi Mudpie, Iced Tea Pitcher, Tuna Melt, Banofi Pie","Retro Ambience, Yummy Desserts, Big Portions, Big Menu, Happy Place, Great Decor"
3,5,Carnatic Cafe,South Indian,600," Lodhi Colony, New Delhi",4.9,2518,https://www.zomato.com/ncr/carnatic-cafe-lodhi-colony-new-delhi,"Malleshwari Dosa, Benne Khali Dosa, Obbattu, Raagi Masala Dosa, Bombat Dosa, Puliyogare","Cosy Ambience, Live Kitchen, Quiet Place, Calm, Cosy Place, Nice Decor"
4,6,"Cocktails & Dreams, Speakeasy","Nepalese, Tibetan, Beverages",2500," Sector 15, Gurgaon",4.9,1299,https://www.zomato.com/ncr/cocktails-dreams-speakeasy-sector-15,"Classic Martini, Coktails, Bloody Mary, Calamari, Bacon, Pork","Jazz Music, Band Playing, Bartender, Live Band, Live Performances, Bar Counter"
5,7,Natural Ice Cream,"Ice Cream, Desserts",400," Connaught Place, New Delhi",4.9,4014,https://www.zomato.com/NaturalsCP,"Watermelon Ice Cream, Choco Bite, Chocobite, Choco Almond, Roasted Almond Ice Cream, Tender Coconut Ice Cream","Bank for the Buck, Totally Worth it, Coffee Date, Table Service, Happy Place, Great Flavour"
6,8,Kuremal Mohan Lal Kulfi Wale,"Ice Cream, Desserts",200," Chawri Bazar, New Delhi",4.9,1120,https://www.zomato.com/ncr/kuremal-mohan-lal-kulfi-wale-chawri-bazar-new-delhi,"Orange Kulfi, Jamun Kulfi, Mixed Fruit, Fruit Cream, Ice Creams, Dessert","Bank for the Buck, Totally Worth it, Table Service, Authenticity, Concept, Owner"
7,9,Juggernaut,"South Indian, North Indian, Fast Food, Desserts, Beverages",700," Kailash Colony, New Delhi",4.8,2480,https://www.zomato.com/ncr/juggernaut-kailash-colony-new-delhi,"Podi Ghee Idli, Chettinad Idli, Ganne Ka Ras, Pesarattu, Appalam, Chettinad Curry","Everything was very Good, Calm, Lovely Ambience, Soothing Music, Warm Welcome, Ambience was Super Cool"
8,10,Comorin,"North Indian, Desserts, Beverages",2500," Two Horizon Center, Golf Course Road, Gurgaon",4.8,803,https://www.zomato.com/ncr/comorin-golf-course-road,"Champaran Style Mutton, Gunpowder Idli, Coktails, Sev Puri, Haleem, Chocolate Dessert","Bar Games, Vintage Decor, Soft Music, Fancy Crowd, Great Recommendations, Courteous Staff"
9,12,Cafeteria & Co.,"Cafe, Continental, Italian, Fast Food, Oriental, Beverages",1300," Vijay Nagar, New Delhi",4.8,5228,https://www.zomato.com/ncr/cafeteria-co-vijay-nagar-new-delhi,"Peri Peri Chicken Skewer, Tropical Heaven Sundae, Chicken Cannelloni, Banana Nutella Crepe, Chipotle Pizza, Blueberry Ice Cream","Highly Recommended, Amazing Atmosphere, Ambience is very Nice, Classy Place, Affordable, Cordial Staff"
10,15,Yum Yum Cha,"Asian, Japanese, Sushi, Desserts, Beverages, Rolls",1800," Cyber Hub, DLF Cyber City, Gurgaon",4.8,1742,https://www.zomato.com/ncr/yum-yum-cha-dlf-cyber-city,"Spicy Basil Noodle, Takoyaki, Crispy Corn Cakes, Chilli Bowl, Sashimi Platter, Mochi Ice Cream","Gastronomical Experience, Happy Place, Themed Decor, Comfortable Seating, Decoration, Fancy Crowd"
11,16,Coast Cafe,"Continental, Kerala",1400," Hauz Khas Village, New Delhi",4.8,1472,https://www.zomato.com/ncr/coast-cafe-hauz-khas-village-new-delhi,"Garam Curry Chicken, Aubergine Curry, Masala Fish Curry, Kerala Fish Fry, Kokum Curry, Avial","Balcony Seating, Classy Decor, Perfect Setting, Calm, Beautiful Cafe, Perfect Ambience"
12,18,The Big Chill Cakery,"Bakery, Desserts",400," DLF Mall of India, Sector 18,  Noida, Noida",4.8,884,https://www.zomato.com/ncr/the-big-chill-cakery-sector-18-noida,"Triple Chocolate Cheesecake, Irish Tiramisu, Mushroom Tart, Irish Cream Coffee, Flaky Pastry, Mississippi Mud","Pretty Decor, Behavior, More Variety, Packed on Weekends, Good Options, Favorite Place"
13,20,Gulati,"North Indian, Biryani, Hyderabadi, Mughlai, Kebab",2500," Pandara Road Market, New Delhi",4.7,6509,https://www.zomato.com/ncr/gulati-pandara-road-new-delhi,"Paneer Gilafi, Neza Kebab, Shahi Veg Platter, Handi Gosht, Methi Paneer, Hyderabadi Veg Biryani","Perfect Family Restaurant, Worth Waiting, Classy Place, Efficient Service, Good for Large Groups, Comfortable Seating Area"
14,21,Olive Bar & Kitchen,"Italian, Pizza, Mediterranean, Continental, European, Beverages, Desserts",4000," Mehrauli, New Delhi",4.7,2734,https://www.zomato.com/ncr/olive-bar-kitchen-mehrauli-new-delhi,"Cheese Souffle, Fettucine, Scallops, Gnocchi, Sunday Brunches, Date Night","Romantic Vibe, Romantic Setting, Valet Service, Sophisticated, Perfect Setting, Romantic Place"
15,22,The Grammar Room,"Continental, Desserts, Beverages",1200," Mehrauli, New Delhi",4.7,1068,https://www.zomato.com/ncr/the-grammar-room-mehrauli-new-delhi,"Mushroom Melt, Spicy Fries, French Toast, Dessert Counter, Cookie, Mocha","Valet Service, Romantic Seating, Classy Place, Outdoor, Brunch, Cozy"
16,23,Chaina Ram Sindhi Confectioners,"Mithai, Street Food",350," Chandni Chowk, New Delhi",4.7,1155,https://www.zomato.com/ncr/chaina-ram-sindhi-confectioners-chandni-chowk-delhi,"Sev Badam, Sohan Halwa, Pinni, Malai Ghewar, Poori Chole, Kaju Barfi","Sweetshop+Restaurant, Breakfast, Owner, Amazing Place, Good Taste, Best Place"
17,24,Sevilla - The Claridges,"Spanish, Italian, Desserts",4500," The Claridges, Aurangzeb Road, New Delhi",4.7,1630,https://www.zomato.com/ncr/sevilla-the-claridges-dr-apj-abdul-kalam-road,"Patata Bravas, Corn Fed Chicken, Date Night, Duck, Risotto, Sangria","Romantic Getaway, Romantic Setting, Candle Light Dinner, Romantic Place, Sophisticated, Perfect Setting"
18,26,Cafe Wink,"Cafe, Continental, Italian",800," Anand Vihar, New Delhi",4.7,3291,https://www.zomato.com/ncr/cafe-wink-anand-vihar-new-delhi,"Bbq Spaghetti, Bbq Lasagna, Veg Omelette, Spaghetti Arrabiata, Pasta Al Forno, Exotica Garlic Bread","Pretty Cafe, Good Food Good Quality, Peaceful Ambience, Affordable, Awesome Cafe, Cute Ambience"
19,27,Spezia Bistro,"Pizza, Chinese, Momos, Fast Food, Italian, Beverages, Continental",900," Delhi University-GTB Nagar, New Delhi",4.7,3829,https://www.zomato.com/ncr/spezia-bistro-delhi-university-gtb-nagar-new-delhi,"Baked Chicken Toscana, Spicy Mango Mojito, Classic Chicken Steak, Choco Ball, Mushroom Melt, Blueberry Pie","Variety of Pasta, Great for Birthdays, Quiet, Sit and Read, Cozy Environment, Reasonable Cost"
20,28,Evoo - Eatery And Pizzeria,"Cafe, Italian, Desserts, Beverages",1500," Geetanjali Enclave, New Delhi",4.7,782,https://www.zomato.com/ncr/evoo-eatery-and-pizzeria-geetanjali-enclave-new-delhi,"Grilled Chicken Stuffed, Chocolate Orange, Lamb Shank, Gnocchi, Pepperoni Pizza, Tiramisu","Authentic, Themed Decor, Gastronomical Experience, Cozy, Packed on Weekends, Courteous Staff"
21,31,Downtown - Diners & Living Beer Cafe,"Bar Food, North Indian, Fast Food, Italian, Chinese, Beverages",2200," Sector 29, Gurgaon",4.7,5344,https://www.zomato.com/ncr/downtown-diners-living-beer-cafe-sector-29,"American Fried Chicken, Veg Farm Pizza, Strawberry Margarita, Vegetable Seekh, Dark Beer, Fattoush","Nice Ambience with Music, Xbox, Bowling, Best Pub, Rock Music, Wooden Interiors"
22,32,Chili's Grill & Bar,"Mexican, Italian, American, Tex-Mex, Beverages, Desserts",1200," Pacific Mall, Tagore Garden, New Delhi",4.7,3956,https://www.zomato.com/ncr/chilis-grill-bar-tagore-garden-new-delhi,"Molten Chocolate Chunk, Cajun Pasta, Smoked Chicken Leg, Santa Fe Salad, Tripple Dipper, Grilled Chicken Fajita","Variety of Selection, Good Server, Relaxed Atmosphere, Courteous Service, Family Place, Warm Service"
23,35,Threesixtyone Degrees - The Oberoi,"Asian, Continental, North Indian, Mughlai, Desserts, Beverages",5500," The Oberoi, Udyog Vihar, Gurgaon",4.7,1019,https://www.zomato.com/ncr/threesixtyone-degrees-the-oberoi-udyog-vihar,"Buffet, Chocolate Cake, Thai Curry, Salads, Virgin Mojito, Dimsums","Outside Deck, Poolside View, Sophisticated, Amazing View, Beautiful View, Luxury"
24,37,Andrea's Eatery,"Asian, Italian, Beverages, Continental, Fast Food, Desserts",2000," Select Citywalk Mall, Saket, New Delhi",4.7,1380,https://www.zomato.com/ncr/andreas-eatery-saket-new-delhi,"Katsu Chicken Curry, Spinach Ricotta Ravioli, Mushroom Lasagna, Butter Garlic Prawns, Jasmine Rice, Sauteed Vegetables","Efficient Service, Relaxed Atmosphere, Themed Decor, Courteous Service, Live Kitchen, Good for Large Groups"
25,40,Master Koii's,"Asian, Chinese, Thai, Malaysian, Korean",1900," Sushant Lok, Gurgaon",4.7,833,https://www.zomato.com/ncr/master-koiis-sushant-lok,"Balinese Chicken Satay, Cantonese Chilli Chicken, General Tsos Chicken, Korean Bibimbap, Burmese Chicken Curry, Korean Sushi","Good Food Good Quality, Delivery on Time, Cozy Ambience, Relaxed Atmosphere, Perfect Packaging, Cosy Place"
26,41,Kunzum Travel Cafe,Cafe,500," Hauz Khas Village, New Delhi",4.7,642,https://www.zomato.com/ncr/kunzum-travel-cafe-hauz-khas-village-new-delhi,"Brewed Coffee, Chocolate Cookies, Green Tea, Hot Coffee","Unique Cafe, Free Wifi, Bookshelf, Cozy Environment, Sit and Read, Warm Place"
27,43,AMA Cafe,"Cafe, Continental, Desserts, Beverages",550," Majnu ka Tila, New Delhi",4.6,5229,https://www.zomato.com/ncr/ama-cafe-majnu-ka-tila-new-delhi,"Carrot Cinnamon, Pancakes and Maple Syrup, Pancake Breakfast, Choco Walnut Brownie, Banana Muffin, Apple Cinnamon Cake","Budget Friendly Food, Price Vs Portion Ratio, Aesthetic Ambience, Pretty Cafe, Cozy Vibe, Soothing Ambience"
28,44,Bukhara - ITC Maurya,"North Indian, Kebab",6500," ITC Maurya, Chanakyapuri, New Delhi",4.6,4657,https://www.zomato.com/ncr/bukhara-itc-maurya-chanakyapuri-new-delhi,"Sikanderi Raan, Meat Masala, Chicken Khurchan, Onion Kulcha, Jumbo Prawns, Firni","Modern Vibe, Jazz Music, Sophisticated, Safe Place, Efficient Service, Worth the Price"
29,45,Leo's,"Pizza, Italian, Beverages",1700," Vasant Vihar, New Delhi",4.6,1179,https://www.zomato.com/ncr/leos-vasant-vihar-new-delhi,"Pancetta Pizza, Pepperoni Pizza Pie, Parsley Butter, Prosciutto, Quattro Formaggio Pizza, Neapolitan Pizza","Intimate Seating, Quaint Little Place, Service and Quality of Food, Good Food and Good Service, Sit and Read, Good Portion Size"
30,48,Plum By Bent Chair,"Chinese, Japanese, Thai, Asian, Beverages",2200," Aerocity, New Delhi",4.6,2402,https://www.zomato.com/ncr/plum-by-bent-chair-aerocity-new-delhi,"Elderflower Cocktail, Thai Mojito, Cappuccino Frappe, Turnip Cake, Honey Ice Cream, Peach Mocktail","Great Taste Value for Money, Good Quality with Good Taste, Decor is Excellent, Awesome Interiors, Themed Decor, Best Decor"
31,51,AB's - Absolute Barbecues,"North Indian, Continental, Desserts, Salad",1100," MGF Metropolis Mall, MG Road, Gurgaon",4.6,8002,https://www.zomato.com/ncr/abs-absolute-barbecues-mg-road,"Smoked Cottage Cheese, Chilli Chicken Wing, Chilli Ice Cream, Pineapple Grill, Masala Corn, Rabbit","Value for Money Experience, Budget Food, Live Grill, Excellent Service Food, Tasty and Awesome Food, Courteous Service"
32,52,Qureshi Kabab Corner,"Mughlai, Kebab",400," Jama Masjid, New Delhi",4.6,1453,https://www.zomato.com/ncr/qureshi-kabab-corner-jama-masjid-new-delhi,"Beef Kabab, Seekh Kebab Roll, Chicken Kabab, Kababs, Chicken Seekh, Rumali Roti","Very Cheap, Great Seating Capacity, Desi Vibes, Pocket Friendly, Cleanliness, Family Crowd"
33,54,Saravana Bhavan,"South Indian, Beverages",600," Connaught Place, New Delhi",4.6,8305,https://www.zomato.com/ncr/saravana-bhavan-connaught-place-new-delhi,"Kara Dosa, Rava Khichdi, Ghee Idli, Ghee Roast Paper Masala Dosa, Sweet Dahi Vada, Mini Idlies","Worth Waiting, Big Restaurant, South Indian Food, Ample Seating Area, Pure Veg, Authenticity"
34,56,Open Tap,"Finger Food, North Indian, Continental, Italian",1800," South Point Mall, Golf Course Road, Gurgaon",4.6,936,https://www.zomato.com/ncr/open-tap-golf-course-road,"Kamikaze, Chicken Bbq Wings, Chicken Slider, Craft Beer, Hummus Pita, Tawa Mutton","Chill with Friends, Wooden Interiors, Amazing Music, Packed on Weekends, Fancy Crowd, Dj"
35,57,Hamoni: Cafe By The Greens,"Cafe, North Indian, Italian, Desserts, Beverages",1200," Sector 23, Gurgaon",4.6,959,https://www.zomato.com/ncr/hamoni-cafe-by-the-greens-sector-23,"Sizzler Brownie, Coffee Hazelnut, Cheese Balls, Hot Chocolate, Mezze Platter, Sunday Brunch","Peaceful Ambience, Soothing Ambience, Beautiful View, Peaceful Place, Fancy Crowd, Cleanliness"
36,58,Indian Grill Room,"North Indian, Mughlai, Beverages, Kebab",1800," Suncity Business Tower, Golf Course Road, Gurgaon",4.6,3438,https://www.zomato.com/ncr/indian-grill-room-golf-course-road,"Pineapple Jalebi, Ajwain Paneer Tikka, Gulkand Ki Kheer, Triffle Pudding, Tandoori Ananas, Blue Ocean Mocktail","Buffet Variety and Quality, Classy Decor, Attentive Service, Good Food Good Quality, Live Kitchen, Complimentary Drinks"
37,59,Noida Social,"North Indian, Chinese, Burger, Rolls, Pizza, Momos, Continental, Beverages",1300," DLF Mall of India, Sector 18,  Noida, Noida",4.6,944,https://www.zomato.com/ncr/noida-social-sector-18-noida,"Cheesecake, Cocktails, Oreo Shake, Drink, Platter, Dessert","Hospitality was Amazing, Ambience was Lovely, Variety of Selection, Service is Great and Fast, Service and Quality of Food, Ambience was Super Cool"
38,60,K3 - JW Marriott New Delhi,"North Indian, Chinese, Italian, Momos",3500," JW Marriott New Delhi, New Delhi",4.6,1608,https://www.zomato.com/ncr/k3-jw-marriott-new-delhi-aerocity-new-delhi,"Dinner Buffet, Dessert Counter, Duck, Sunday Brunch, Dim Sums, Tiramisu","Cooking Stations, Good Food and Good Ambience, Sophisticated, Worth the Price, Live Kitchen, Luxury"
39,61,Barbeque Nation,"North Indian, BBQ, Beverages, Desserts",1500," Unity One Mall, Janakpuri, New Delhi",4.6,2881,https://www.zomato.com/ncr/barbeque-nation-vikaspuri-new-delhi,"Grilled Shrimp, Cajun Potatoes, Matka Phirni, Pan Kulfi, Grilled Pineapple, Barbeque","Live Grill, Complimentary Drinks, Service is Great and Fast, Themed Decor, Courteous Service, Comfortable Seating Area"
40,62,Di Ghent Cafe,"European, Belgian",1700," Cross Point Mall, DLF Phase 4, Gurgaon",4.6,2346,https://www.zomato.com/ncr/di-ghent-cafe-dlf-phase-4,"Yogurt Smoothie, Lamb Lasagna, Egg Benedict, Chicken Panini, Baguette, Smoked Salmon","Breakfast Joint, Attentive Service, Warm Place, Cosy Ambience, Warm Ambience, Beautiful Cafe"
41,65,The Yellow Chilli,"North Indian, Mughlai, Chinese, Beverages, Desserts, Kebab",1600," Sector 110, Noida",4.6,2575,https://www.zomato.com/ncr/the-yellow-chilli-sector-110-noida,"Shyam Savera, Lalla Mussa Dal, Kurkuri Bhindi, Paneer Taka Tak, Dahi Kabab, Chilli Garlic Noodles","Food and Service, Ambience is Beautiful, Buffet Variety and Quality, Keto Options, Taste of Food, Extensive Bar Menu"
42,66,Mahabelly,"Kerala, South Indian, Seafood, Biryani",700," DLF Avenue, Saket, New Delhi",4.6,2323,https://www.zomato.com/mahabelly,"Chicken Varattiyathu, Sweet Coconut Dosa, Mango Prawn Curry, Kothu Porotta, Pork Roast, Egg Appam","Dinner Menu, Simple Decor, Taste of Food, Warm Hospitality, Ample Seating Area, Fantastic Service"
43,68,You Mee,"Japanese, Sushi, Asian, Chinese, Thai, Beverages",1000," Greater Kailash 2 (GK2), New Delhi",4.6,1010,https://www.zomato.com/ncr/you-mee-greater-kailash-gk-2-new-delhi,"Matcha Cheesecake, Spider Roll, New Zealand Lamb Chops, Chicken Sushi, Chicken Gyoza, Sushi Platter","Sushi Place, Japanese Cuisine, Quality of Food, Relaxed Atmosphere, Cashless Payments, Large Servings"
44,69,Delhi Club House,"North Indian, Continental, Asian",1700," Sangam Courtyard, RK Puram, New Delhi",4.6,1221,https://www.zomato.com/ncr/delhi-club-house-r-k-puram-new-delhi,"Dak Bunglow Chicken Roast, Trifle Pudding, Amritsari Chhole, Chicken Cutlets, Apple Crumble, Galouti Kebab","Booking, Family Place, Venue, Fancy Crowd, Comfort Food, Excellent Place"
45,70,Wenger's Deli,"Fast Food, Desserts, Beverages, North Indian, Pizza",500," Connaught Place, New Delhi",4.6,2290,https://www.zomato.com/ncr/wengers-deli-connaught-place-new-delhi,"Peri Peri Veg Panini, Mocha Smoothie, Veg Bbq Burger, Crunchy Chocolate, Blueberry Blast, Continental Breakfast","Coffee Date, Pretty Decor, Live Kitchen, Cozy Place, Cute Little Place, Good Stuff"
46,72,The Pasta Bowl Company,"Italian, Fast Food, Pizza, Pasta",1300," Cross Point Mall, DLF Phase 4, Gurgaon",4.6,1479,https://www.zomato.com/ncr/the-pasta-bowl-company-dlf-phase-4,"Tortellini Puttanesca, Parma Ham Salad, Chicken Breast Sandwich, Spinach Ravioli, Ravioli Pasta, Orange Mojito","Cozy Ambience, Quality of Food, Live Kitchen, Cozy Place, New Menu, More Variety"
47,73,Chor Bizarre,"North Indian, Mughlai, Beverages",1600," Pandara Road Market, New Delhi",4.6,550,https://www.zomato.com/ncr/chor-bizarre-pandara-road-new-delhi,"Khatte Baigan, Kashmiri Phirni, Tabakh Maaz, Dahi Batata Puri, Palak Patta Chat, Kulfi","Attentive Service, Classy Ambience, Peaceful Ambience, Themed Decor, Parking, Theme"
48,77,Nando's,"Portuguese, Roast Chicken, Burger, Wraps, Salad",800," Ambience Mall, DLF Phase 3, Gurgaon",4.6,969,https://www.zomato.com/ncr/nandos-1-dlf-phase-3,"Grill Chicken, Peri Peri Chicken, Hummus Pita, Peri Peri Sauce, Cheesecake, Chocolate Cake","Service is Great and Fast, Polite Behaviour, Customizable Dishes, Art, Seating Arrangement, Weekend Brunch"
49,78,Cafe Parmesan,"Italian, Pizza, Beverages",1800," Sector 15, Faridabad",4.6,1477,https://www.zomato.com/ncr/cafe-parmesan-sector-15-faridabad,"Bacon Panini, Chocolate Torte, Belgian Choco Shake, Veg Panini, Ravioli, Chicken Lasagna","Relaxed Atmosphere, Attentive Staff, Cozy Place, Friendly Service, New Menu, Fresh Ingredients"
50,80,The Great Kabab Factory - Radisson Blu Plaza Delhi Airport,"North Indian, Mughlai, Kebab, Biryani, Desserts, Beverages",2500," Radisson Blu Plaza Delhi Airport, Mahipalpur, New Delhi",4.6,791,https://www.zomato.com/ncr/the-great-kabab-factory-radisson-blu-plaza-delhi-airport-mahipalpur-new-delhi,"Set Menu, Dals, Galouti Kebab, Jalebi, Kababs, Kulfi","Clean Bathrooms, Pool, Worth the Price, Great Hospitality, Decoration, More Variety"
51,81,Wafflesome,"Desserts, Beverages",500," Greater Kailash 1 (GK1), New Delhi",4.6,1500,https://www.zomato.com/ncr/wafflesome-greater-kailash-gk-1-new-delhi,"Brownie Nutella Waffles, Choco Waffle, Mango Waffle, Banana Toffee, Ice Cream Strawberry, Strawberry Waffle","Great Fragrance, Totally Worth it, Cosy Place, Pocket Friendly, Serving Size, Fancy Crowd"
52,82,Green House - The Beer Garden,"Continental, Tex-Mex, Mediterranean, North Indian, Asian",1500," Eros City Square Mall, Sector 49, Gurgaon, Gurgaon",4.6,1452,https://www.zomato.com/ncr/green-house-the-beer-garden-sector-49,"Herbed Potato Wedges, Veg Ceaser Salad, Cheese Corn Nuggets, Spaghetti Bolognese, Wheat Beer, Chocolate Lava Cake","Kid Friendly, Good Bartenders, Rooftop Ambience, Wooden Interiors, Live Performances, Service and Quality of Food"
53,85,The Hook,"Seafood, Continental, North Indian",1800," Sector 29, Gurgaon",4.6,2285,https://www.zomato.com/ncr/the-hook-sector-29,"Rusty Nail, Liit Cocktail, Soya Masala Chaap, Butter Garlic Prawns, Brewed Beer, Sea Food","Best Rooftop, Great Lighting, Live Entertainment, Lovely Music, Amazing View, Rooftop Seating"
54,86,Rahul Eggs,"Fast Food, Healthy Food, Street Food, North Indian",350," Lawrence Road, New Delhi",4.6,1081,https://www.zomato.com/ncr/rahul-eggs-lawrence-road-new-delhi,"Tandoori Jalandhari, Chicken Jalandhari, Eggs, Omelette","Street Food, Concept, Awesome Place, Amazing Taste, Chef, Best Place"
55,87,"Colocal ""The Cacao Artisans""","Cafe, Desserts, Continental, Coffee, Italian, Beverages",1000," Chhatarpur, New Delhi",4.5,571,https://www.zomato.com/ncr/colocal-the-cacao-artisans-chhatarpur-new-delhi,"Zucchini Fries, Garden Salad, Veg Tacos, Hot Chocolate, Bruschetta, Sangria","Aesthetic Interiors, Portion Size is Big, Staff very Polite, Best Staff, Ambience was Super Cool, Pretty Place"
56,94,Sly Granny,"Continental, American, Italian, European, Mexican, Desserts",1800," Khan Market, New Delhi",4.5,992,https://www.zomato.com/ncr/sly-granny-khan-market-new-delhi,"Biscuits and Gravy, Barley Salad, Tamarind Chicken, Lamb Bolognaise, Babaganush, Apple Crumble","Efficient Service, Good for Large Groups, Lovely Ambience, Cozy Place, Good Vibe, Packed on Weekends"
57,97,Manhattan Bar & Brewery,"Finger Food, American, Continental, North Indian, Italian, Beverages",1400," Global Foyer Mall, Golf Course Road, Gurgaon",4.5,4637,https://www.zomato.com/ncr/manhattan-bar-brewery-golf-course-road,"Kiwi Blast, Brewed Wheat Beer, Chocolate Pan, Draft Beer, Garlic Bread with Cheese, Sev Puri","Music is Good too, Xbox, Service by Staff, Bowling, Best Pub, Best Party Place"
58,101,Rajinder Da Dhaba,"North Indian, Chinese, Mughlai",800," Safdarjung, New Delhi",4.5,5936,https://www.zomato.com/ncr/rajinder-da-dhaba-safdarjung-new-delhi,"Makhmali Fish, Veg Malai Tikka, Gaulauti Kebab, Satay Chicken, Chicken Kalmi, Paneer Malai","Dhaba Feel, Super Fast Service, Office Crowd, Casual Seating Area, Elegantly Decorated, Inexpensive"
59,104,ABB - Andrea's Bar & Brasserie,"Italian, Asian, European, Sushi, Thai, Salad, Pizza, Beverages",2000," Khan Market, New Delhi",4.5,643,https://www.zomato.com/ncr/abb-andreas-bar-brasserie-khan-market-new-delhi,"Avocado Roll, Chocolate Dome, New Zealand Lamb Chops, Roasted Vegetables, Kafir Lime, New York Cheesecake","Classy Decor, Gastronomical Experience, Comfortable Seating, Serving Size, Fancy Crowd, Generous Portions"
60,106,Perch Wine & Coffee Bar,"Beverages, European, Continental",2000," Khan Market, New Delhi",4.5,1424,https://www.zomato.com/ncr/perch-wine-coffee-bar-khan-market-new-delhi,"Double Chocolate Mousse, Coffee Bar, Potato Gnocchi, Mango Sorbet, Mulled Wine, Chicken Sub","Wooden Interiors, Pretty Place, Calm, Light Music, Friendly Service, Cosy Place"
61,107,Andhra Bhavan,"South Indian, Andhra",450," Feroze Shah Road, New Delhi",4.5,4379,https://www.zomato.com/ncr/andhra-bhavan-feroze-shah-road-new-delhi,"Breakfast Thali, Unlimited Veg Thali, Sweet Pan, South Indian Meals, Gun Powder, Chicken Fry","Efficient Staff, Unlimited Refills, Fancy Place, Chirpy Crowd, Unique Experience, Cheap Prices"
62,108,BlackJack,"Fast Food, Beverages",800," Punjabi Bagh, New Delhi",4.5,2361,https://www.zomato.com/ncr/blackjack-punjabi-bagh-new-delhi,"Spicy Cheesy Fries, Chocolate Ice Cream Shake, Chicken Juicy Burger, Nuttela Shake, Feta Cheese Salad, Cheesecake Shake","Serving Style, Themed Decor, Comfortable Seating Area, Pocket Friendly Place, Gastronomical Experience, Cheap"
63,113,Triveni Terrace Cafe,"Street Food, Desserts, Beverages",400," Mandi House, New Delhi",4.5,2004,https://www.zomato.com/ncr/triveni-terrace-cafe-mandi-house-new-delhi,"Masala Cheese Toast, Coconut Curry Chicken, Pohaa, Ragi Idli, Paalak Patta Chaat, Gun Powder Idli","Beautiful Environment, Serene Ambience, Soothing Ambience, Open Seating, Peaceful Environment, Positive Vibe"
64,114,Mamagoto,"Asian, Chinese, Sushi, Desserts",1000," Select Citywalk Mall, Saket, New Delhi",4.5,2422,https://www.zomato.com/ncr/mamagoto-saket-new-delhi,"Spicy Calamari, Spicy Bangkok Bowl, Kiwi Mint Cooler, Nutella Crunch, Spicy Ramen, Rock Shrimp Tempura","Food Service, Family Place, Exceptional Service, Comfortable Seating, Good Value, Excellent Experience"
65,115,Lakhori - Haveli Dharampura,"Mughlai, Street Food, Kebab",2500," Chandni Chowk, New Delhi",4.5,804,https://www.zomato.com/ncr/lakhori-haveli-dharampura-chandni-chowk-new-delhi,Fly kites at the rooftop of Haveli Dharampura along with a lavish 3 course High Tea. It is breathtakingly beautiful to look at the sky covered with colorful kites from the Haveli rooftop...Read More,"Banarasi Paan, Tomato Dhaniya Shorba, Dahi Puri, Palak Patta Chat, Smoothies, Chaat"
66,116,The Potbelly,"Bihari, Fast Food, Beverages",1000," Chanakyapuri, New Delhi",4.5,1183,https://www.zomato.com/ncr/the-potbelly-chanakyapuri-new-delhi,"Dalpitti, Maithili Thali, Pudina Chicken Pulao, Tomato Chokha, Bhojpuri Thali, Madhubani Thali","Comfortable Seating Area, Quality of Food, Beautiful Decor, Cozy Ambience, Family Place, Helpful Staff"
67,119,Open Tap,"Finger Food, North Indian, Chinese, Italian, Bar Food",2000," Sector 49, Gurgaon",4.5,1446,https://www.zomato.com/ncr/open-tap-sector-49,"Hunan Spicy Chicken, Tawa Mutton, Tandoori Non Veg Platter, Wheat Beer, Brewed Beer, Beers","Xbox, Best Pub, Music and Ambience, Wooden Interiors, Awesome Music, Great Music"
68,121,Punjab Grill,"North Indian, Mughlai, Biryani, Kebab, Desserts",2500," Pacific Mall, Tagore Garden, New Delhi",4.5,2764,https://www.zomato.com/ncr/punjab-grill-tagore-garden-new-delhi,"Veg Kurkuri, Meat Punjab Grill, Saag Gosht, Pan Shots, Murg Lababdar, Authentic Punjabi Food","Good Service Good Quality, Peaceful Ambience, Elegant Ambience, Good Server, Ambience was Super Cool, Cordial Staff"
