,old_index,Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Website,Known_For2,Known_For22
757,1287,Craving Cosmos Cafe & Bakery,"Fast Food, Beverages, Bakery, Italian, Continental",550," Mayur Vihar Phase 2, New Delhi",4.0,97,https://www.zomato.com/ncr/craving-cosmos-cafe-bakery-mayur-vihar-phase-2-new-delhi,"Cheese Balls, Beer, Biryani, Paneer Lababdar, Mocktails, Starters","Cozy Place, Packed on Weekends, Wonderful Place, Decent Place, Favorite Place, Good Staff"
758,1289,Cafe NH8 - Radisson,"Continental, Italian, North Indian, Asian",2500," Radisson, Udyog Vihar, Gurgaon",4.0,267,https://www.zomato.com/ncr/cafe-nh8-radisson-udyog-vihar,"Kachori Sabzi, Deluxe Thali, Sweets, Noodle, Gulab Jamun, Hakka Noodles","Very Clean Place, Hygenic Food, Good Quality Food, Customer Service, Preparation, Tasty"
759,1293,Sameer Qureshi's Kebab,"Rolls, North Indian, Mughlai",800," Shopping Mall, DLF Phase 1, Gurgaon",4.0,223,https://www.zomato.com/ncr/sameer-qureshis-kebab-dlf-phase-1,"Chocolate Overdose, Flavored Ice Cream, Ferrero Rocher, Thick Shakes, Ice Creams, Icecream","Concept, Good Ambience, Food Presentation, Elaborate Menu, Customizable Food, Young Crowd"
760,1296,Quirky Perky,"Cafe, Italian, Pizza, Fast Food, North Indian, Beverages",850," Raj Nagar, Ghaziabad",4.0,120,https://www.zomato.com/ncr/quirky-perky-raj-nagar-ghaziabad,"Margherita Thin Crust, Cheese Corn Balls, Handi Chicken, Masala Chaap, Chicken Lababdar, Chicken Korma","Extensive Bar Menu, Variety of Veg Options, Fusion Dishes, Good for Large Groups, Quality of Food, Ample Seating Area"
761,1298,Waves,"North Indian, Mughlai, Chinese, Beverages",1600," Adchini, New Delhi",4.0,244,https://www.zomato.com/ncr/waves-adchini,"Chicken Grilled Sandwich, Butter Chicken Pizza, Peri Fries, Kit Kat Shake, Nachos, Shakes","Cost Efficient, Ambience was Super Cool, Soft Music, Fancy Crowd, Great Value, Interior"
762,1301,Panx Pizza,"Pizza, Fast Food",500," Kalkaji, New Delhi",4.0,167,https://www.zomato.com/ncr/panx-pizza-kalkaji-new-delhi,"Stuffed Sandwich, White Pasta, Mocha, Cappuccino, Hot Chocolate, Sandwiches","Couple Friendly, Staff Service, Packed on Weekends, Good Value, Vibe, Hospitality"
763,1304,Khanna Ki Rasoi,"North Indian, Beverages, Fast Food",300," Chander Nagar, New Delhi",4.0,234,https://www.zomato.com/ncr/khanna-ki-rasoi-chander-nagar-new-delhi,"Dahi Ke Sholey, Virgin Mojito, Mocktails, Chilly Chicken, Spring Rolls, Gulab Jamun","Good Bartenders, Dance Floor, Sitting Arrangement, Great Music, Comfortable Seating, Dj"
764,1305,Kabooze,"North Indian, Chinese, Continental",2500," Greater Kailash 2 (GK2), New Delhi",4.0,372,https://www.zomato.com/ncr/kabooze-greater-kailash-gk-2-new-delhi,"Veg Tandoori Momo, Spicy Chicken, Tawa Roti, Chicken Tikka, Momos","Good and Nice to Enjoy, Great Value, Best Restaurant, Perfect Presentation, Spill Proof Packaging, Healthy Food"
765,1306,Anant Foods,"North Indian, Chinese, Mughlai, Momos",600," Sector 72, Noida",4.0,217,https://www.zomato.com/ncr/anant-foods-1-sector-72-noida,"Paneer Tikka Masala, Garlic Naan, Starters, Dal Makhni","Pocket Friendly Prices, Infrastructure, Cleanliness, Great Value, Customer Service, Excellent Service"
766,1307,Ocean Blue,"North Indian, Chinese, Street Food, Italian, Fast Food, Mughlai, Beverages",1100," Kaushambi, Ghaziabad",4.0,150,https://www.zomato.com/ncr/ocean-blue-kaushambi-ghaziabad,"Avocado Salad, Spaghetti Pasta, Hummus, Shakes, Coffee","Romantic Seating, Inexpensive, Customizable Dishes, Healthy Food, Best Food under Best Budget, Cafe"
767,1308,Garden House Cafe & Health Kitchen,"Cafe, Healthy Food, Fast Food",600," Shahpur Jat, New Delhi",4.0,177,https://www.zomato.com/ncr/garden-house-cafe-health-kitchen-1-shahpur-jat-new-delhi,"Malai Mushroom, Chilli Chicken Dry, Chicken Lababdar, Honey Chilli Potatoes, Kebabs, Roti","Good for Large Groups, Loved it, Relaxed Atmosphere, Great Value, Family Crowd, Yummy Food"
768,1309,Vatika,"North Indian, Oriental, Mughlai, Beverages",650," Charmwood Village, Faridabad",4.0,277,https://www.zomato.com/ncr/vatika-charmwood-village-faridabad,"Plum Cake, Aloo Patty, Kit Kat Shake, Pastries, Cookies, Cakes","Pretty Decor, Best Food under Best Budget, Location, Great Place, Prices, Presentation"
769,1310,Creme N Crisp,"Bakery, Fast Food, Desserts, Beverages, Mithai",400," Gole Market, New Delhi",4.0,342,https://www.zomato.com/ncr/creme-n-crisp-gole-market-new-delhi,"Chicken Handi Korma, Chicken Tikka Fry, Murgh Changezi, Mutton Masala, Kadahi Paneer, Kadai Chicken","Office Crowd, Good Portions, Great Recommendations, Fantastic Place, Perfect Presentation, Best Restaurant"
